,anger,disgust,fear,joy,sadness,surprise
0,PCA_11,PCA_8,PCA_34,PCA_3,PCA_15,PCA_28
1,PCA_8,PCA_4,PCA_3,PCA_15,PCA_9,PCA_8
2,PCA_2,PCA_14,PCA_22,PCA_11,PCA_8,PCA_1
3,PCA_7,PCA_40,PCA_35,PCA_42,PCA_22,PCA_35
4,PCA_44,PCA_7,PCA_38,PCA_22,PCA_28,PCA_12
5,PCA_3,PCA_17,PCA_40,PCA_6,PCA_16,PCA_9
6,PCA_42,PCA_39,PCA_19,PCA_16,PCA_18,PCA_23
7,PCA_6,PCA_27,PCA_5,PCA_9,PCA_19,PCA_24
8,PCA_10,PCA_41,PCA_10,PCA_19,PCA_42,PCA_26
9,PCA_39,PCA_42,PCA_24,PCA_24,PCA_11,PCA_2
10,PCA_46,PCA_44,PCA_28,PCA_0,PCA_33,PCA_37
11,PCA_14,PCA_11,PCA_2,PCA_12,PCA_6,PCA_5
12,PCA_17,PCA_13,PCA_0,PCA_48,PCA_29,PCA_42
13,PCA_19,PCA_36,PCA_48,PCA_18,PCA_20,PCA_32
14,PCA_31,PCA_25,PCA_25,PCA_37,PCA_21,PCA_20
